Date,Close
17/05/2017,5.777
18/05/2017,5.761
19/05/2017,5.757
22/05/2017,5.757
23/05/2017,5.761
24/05/2017,5.731
25/05/2017,5.701
26/05/2017,5.686
29/05/2017,5.683
30/05/2017,5.683
31/05/2017,5.671
01/06/2017,5.865
02/06/2017,5.855
05/06/2017,5.851
06/06/2017,5.85
07/06/2017,5.848
08/06/2017,5.848
09/06/2017,5.823
12/06/2017,5.84
13/06/2017,5.84
14/06/2017,5.829
15/06/2017,5.781
16/06/2017,5.759
19/06/2017,5.746
20/06/2017,5.732
21/06/2017,5.683
22/06/2017,5.683
23/06/2017,5.652
25/06/2017,5.652
26/06/2017,5.65
27/06/2017,5.65
28/06/2017,5.65
29/06/2017,5.653
30/06/2017,5.634
01/07/2017,5.634
02/07/2017,5.634
03/07/2017,5.624
04/07/2017,5.624
05/07/2017,5.624
06/07/2017,5.61
07/07/2017,5.589
10/07/2017,5.485
11/07/2017,5.437
12/07/2017,5.416
13/07/2017,5.368
14/07/2017,5.376
16/07/2017,5.376
17/07/2017,5.381
18/07/2017,5.326
19/07/2017,5.281
20/07/2017,5.241
21/07/2017,5.253
24/07/2017,5.26
25/07/2017,5.273
26/07/2017,5.278
27/07/2017,5.261
28/07/2017,5.274
31/07/2017,5.265
01/08/2017,5.272
02/08/2017,5.272
03/08/2017,5.272
04/08/2017,5.272
06/08/2017,5.272
07/08/2017,5.301
08/08/2017,5.307
09/08/2017,5.319
10/08/2017,5.334
11/08/2017,5.341
14/08/2017,5.367
15/08/2017,5.363
16/08/2017,5.374
17/08/2017,5.408
18/08/2017,5.407
21/08/2017,5.421
22/08/2017,5.438
23/08/2017,5.438
24/08/2017,5.462
25/08/2017,5.497
28/08/2017,5.531
29/08/2017,5.54
30/08/2017,5.521
31/08/2017,5.501
01/09/2017,5.498
04/09/2017,5.497
05/09/2017,5.455
06/09/2017,5.397
07/09/2017,5.387
08/09/2017,5.385
11/09/2017,5.396
12/09/2017,5.391
13/09/2017,5.383
14/09/2017,5.383
15/09/2017,5.38
18/09/2017,5.376
19/09/2017,5.377
20/09/2017,5.377
21/09/2017,5.377
22/09/2017,5.379
